date,open,high,low,close
2020-06-05 11:04:00+09:00,1077607,1078014,1077315,1077782
2020-06-05 11:05:00+09:00,1077863,1078383,1077730,1078116
2020-06-05 11:06:00+09:00,1078116,1078600,1077801,1078161
2020-06-05 11:07:00+09:00,1078163,1078254,1077148,1077734
2020-06-05 11:08:00+09:00,1077745,1078092,1077543,1078030
2020-06-05 11:09:00+09:00,1078032,1078389,1077088,1077795
2020-06-05 11:10:00+09:00,1077796,1077938,1077249,1077418
2020-06-05 11:11:00+09:00,1077488,1078414,1077385,1077835
2020-06-05 11:12:00+09:00,1077835,1078289,1077758,1077885
2020-06-05 11:13:00+09:00,1077870,1078206,1077689,1078124
2020-06-05 11:14:00+09:00,1078034,1078124,1077392,1077849
2020-06-05 11:15:00+09:00,1077849,1078000,1077382,1077755
2020-06-05 11:16:00+09:00,1077705,1077951,1077200,1077500
2020-06-05 11:17:00+09:00,1077421,1077777,1077078,1077078
2020-06-05 11:18:00+09:00,1077076,1077356,1076647,1076996
2020-06-05 11:19:00+09:00,1076981,1077150,1076542,1076592
2020-06-05 11:20:00+09:00,1076584,1076719,1075322,1076179
2020-06-05 11:21:00+09:00,1076207,1076487,1075758,1076244
2020-06-05 11:22:00+09:00,1076256,1076708,1075966,1076386
2020-06-05 11:23:00+09:00,1076386,1076738,1076249,1076536
2020-06-05 11:24:00+09:00,1076537,1076636,1075467,1076070
2020-06-05 11:25:00+09:00,1076071,1076156,1075560,1075947
2020-06-05 11:26:00+09:00,1075960,1076294,1075688,1075955
2020-06-05 11:27:00+09:00,1075977,1076119,1075211,1075583
2020-06-05 11:28:00+09:00,1075655,1075793,1075484,1075663
2020-06-05 11:29:00+09:00,1075702,1076251,1075470,1076193
2020-06-05 11:30:00+09:00,1076193,1076414,1075837,1076024
2020-06-05 11:31:00+09:00,1076012,1076894,1075934,1076356
2020-06-05 11:32:00+09:00,1076463,1076677,1076146,1076639
2020-06-05 11:33:00+09:00,1076563,1076954,1076379,1076881
2020-06-05 11:34:00+09:00,1076838,1076968,1075925,1076277
2020-06-05 11:35:00+09:00,1076344,1076776,1076156,1076239
2020-06-05 11:36:00+09:00,1076239,1076330,1075636,1075747
2020-06-05 11:37:00+09:00,1075747,1076354,1075000,1075011
2020-06-05 11:38:00+09:00,1075001,1075430,1074613,1075109
2020-06-05 11:39:00+09:00,1075146,1075345,1073486,1074232
2020-06-05 11:40:00+09:00,1074229,1074700,1073892,1074557
2020-06-05 11:41:00+09:00,1074557,1074657,1074010,1074199
2020-06-05 11:42:00+09:00,1074092,1074637,1074079,1074538
2020-06-05 11:43:00+09:00,1074436,1074749,1074253,1074603
2020-06-05 11:44:00+09:00,1074554,1075146,1074338,1075092
2020-06-05 11:45:00+09:00,1075063,1075087,1074513,1074879
2020-06-05 11:46:00+09:00,1074798,1075154,1074555,1075134
2020-06-05 11:47:00+09:00,1075092,1075234,1074669,1074911
2020-06-05 11:48:00+09:00,1074869,1075199,1074466,1074911
2020-06-05 11:49:00+09:00,1074847,1074992,1074674,1074745
2020-06-05 11:50:00+09:00,1074799,1075219,1074730,1075133
2020-06-05 11:51:00+09:00,1075150,1075467,1074700,1074700
2020-06-05 11:52:00+09:00,1074771,1074912,1074107,1074341
2020-06-05 11:53:00+09:00,1074347,1074552,1073688,1074169
2020-06-05 11:54:00+09:00,1074166,1074541,1074051,1074157
2020-06-05 11:55:00+09:00,1074225,1074454,1074116,1074267
2020-06-05 11:56:00+09:00,1074269,1074883,1074183,1074883
2020-06-05 11:57:00+09:00,1074813,1075058,1074492,1074568
2020-06-05 11:58:00+09:00,1074450,1075108,1074330,1075005
2020-06-05 11:59:00+09:00,1075005,1075300,1074865,1074976
2020-06-05 12:00:00+09:00,1074969,1074974,1074081,1074393
2020-06-05 12:01:00+09:00,1074490,1075702,1074159,1075702
2020-06-05 12:02:00+09:00,1075708,1076296,1075376,1075769
2020-06-05 12:03:00+09:00,1075805,1076037,1075471,1075710
2020-06-05 12:04:00+09:00,1075591,1076081,1075489,1075924
2020-06-05 12:05:00+09:00,1076028,1077761,1075944,1077311
